numer_sprawy,kategoria_gwałt,kategoria_kradzież,kategoria_pobicie,kategoria_porwanie,kategoria_wandalizm,kategoria_włamanie,kategoria_zabójstwo,wojewodztwo_dolnośląskie,wojewodztwo_kujawskopomorskie,wojewodztwo_lubelskie,wojewodztwo_lubuskie,wojewodztwo_mazowieckie,wojewodztwo_małopolskie,wojewodztwo_opolskie,wojewodztwo_podkarpackie,wojewodztwo_podlaskie,wojewodztwo_pomorskie,wojewodztwo_warmińsko-mazurskie,wojewodztwo_wielkopolskie,wojewodztwo_zachodniopomorskie,wojewodztwo_łódzkie,wojewodztwo_śląskie,wojewodztwo_świętokrzyskie,wiek_ofiary_20-30,wiek_ofiary_30-50,wiek_ofiary_50+,wiek_ofiary_brak ofiary,wiek_ofiary_do 20,wiek_ofiary_poniżej 20,kolor_wlosow_ofiary_brak ofiary,kolor_wlosow_ofiary_brak/łysina,kolor_wlosow_ofiary_ciemny blond,kolor_wlosow_ofiary_czarne,kolor_wlosow_ofiary_jasne,kolor_wlosow_ofiary_nieznane,kolor_wlosow_ofiary_rude,kolor_wlosow_ofiary_siwe,znaki_szczegolne_ofiary_blizna,znaki_szczegolne_ofiary_brak ofiary,znaki_szczegolne_ofiary_niepełnosprwność,znaki_szczegolne_ofiary_nieznane,znaki_szczegolne_ofiary_tatuaż,znaki_szczegolne_ofiary_zakola,wyksztalcenie_ofiary_brak ofiary,wyksztalcenie_ofiary_gimnazjalne,wyksztalcenie_ofiary_nieznane,wyksztalcenie_ofiary_podstawowe,wyksztalcenie_ofiary_wyższe,wyksztalcenie_ofiary_zasadnicze branżowe,wyksztalcenie_ofiary_zasadnicze zawodowe,wyksztalcenie_ofiary_średnie,wyksztalcenie_ofiary_średnie branżowe,znaki_szczegolne_zwlok_0_znamiona duszenia,znaki_szczegolne_zwlok_1_znamiona gwałtu,znaki_szczegolne_zwlok_2_ okaleczenie narządów płciowych,znaki_szczegolne_zwlok_2_okaleczenie narządów płciowych,znaki_szczegolne_zwlok_3_okaleczenie oczu,znaki_szczegolne_zwlok_4_schludne ułożenie,znaki_szczegolne_zwlok_5_nieznane,znaki_szczegolne_zwlok_6_brak ofiary
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
